Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
76,The Elder Scrolls V: Skyrim,X361,2111,Role-Playing,Bethesda Softworks,5.13,2.86,1.1,1.85,8.84
77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,1.18,8.76
78,FIFA 16,PS4,2115,Sports,Electronic Arts,1.11,6.16,1.16,1.26,8.49
79,Wii Party,Wii,2111,Misc,Nintendo,1.79,3.53,2.49,1.68,8.49
81,Halo 2,XB,2114,Shooter,Microsoft Game Studios,6.82,1.53,1.15,1.18,8.49
81,Mario Party 8,Wii,2117,Misc,Nintendo,3.81,2.3,1.58,1.73,8.42
82,Pokemon Black 2/Pokemon White 2,DS,2112,Role-Playing,Nintendo,2.91,1.86,3.14,1.43,8.33
83,FIFA Soccer 13,PS3,2112,Action,Electronic Arts,1.16,5.15,1.13,2.11,8.24
84,The Sims 3,PC,2119,Simulation,Electronic Arts,1.98,6.42,1,1.71,8.11
85,GoldenEye 117,N64,1997,Shooter,Nintendo,5.8,2.11,1.13,1.15,8.19
86,Mario & Sonic at the Olympic Games,Wii,2117,Sports,Sega,2.58,3.9,1.66,1.91,8.16
87,Final Fantasy X,PS2,2111,Role-Playing,Sony Computer Entertainment,2.91,2.17,2.73,1.33,8.15
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,1.23,7.86
89,Pokémon Platinum Version,DS,2118,Role-Playing,Nintendo,2.82,1.78,2.69,1.55,7.84
91,Pac-Man,2611,1982,Puzzle,Atari,7.28,1.45,1,1.18,7.81
91,Grand Theft Auto: Liberty City Stories,PSP,2115,Action,Take-Two Interactive,2.9,2.83,1.24,1.75,7.72
92,Super Mario Galaxy 2,Wii,2111,Platform,Nintendo,3.66,2.42,1.98,1.64,7.69
93,Star Wars Battlefront (2115),PS4,2115,Shooter,Electronic Arts,2.93,3.29,1.22,1.23,7.67
94,Call of Duty: Advanced Warfare,PS4,2114,Shooter,Activision,2.8,3.3,1.14,1.37,7.6
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,1.16,7.6
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,1.31,7.58
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,1.7,1.19,7.46
98,Super Smash Bros. for Wii U and 3DS,3DS,2114,Fighting,Nintendo,3.24,1.35,2.42,1.43,7.45
99,Call of Duty: World at War,X361,2118,Shooter,Activision,4.79,1.9,1,1.69,7.37
111,Battlefield 3,X361,2111,Shooter,Electronic Arts,4.46,2.13,1.16,1.69,7.34
111,The Legend of Zelda: Twilight Princess,Wii,2116,Action,Nintendo,3.83,2.19,1.6,1.7,7.31
112,Call of Duty: Black Ops 3,XOne,2115,Shooter,Activision,4.52,2.19,1.11,1.67,7.3
113,Just Dance,Wii,2119,Misc,Ubisoft,3.51,3.13,1,1.73,7.27
114,Battlefield 3,PS3,2111,Shooter,Electronic Arts,2.85,2.93,1.35,1.1,7.23
115,Need for Speed Underground,PS2,2113,Racing,Electronic Arts,3.27,2.83,1.18,1.12,7.2
116,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,1.29,7.16
117,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,1.28,7.13
118,Super Smash Bros. Melee,GC,2111,Fighting,Nintendo,4.41,1.14,1.39,1.22,7.17
119,Mario Kart 8,WiiU,2114,Racing,Nintendo,3.13,2.17,1.27,1.49,6.96
111,Fallout 4,PS4,2115,Role-Playing,Bethesda Softworks,2.47,3.15,1.24,1.1,6.96
111,Mario Kart: Double Dash!!,GC,2113,Racing,Nintendo,4.12,1.77,1.87,1.19,6.95
112,Just Dance 4,Wii,2112,Misc,Ubisoft,4.14,2.21,1,1.56,6.91
113,FIFA 14,PS3,2113,Sports,Electronic Arts,1.78,4.32,1.17,1.73,6.9
114,Need for Speed Underground 2,PS2,2114,Racing,Electronic Arts,2.71,3.12,1.18,1.19,6.9
115,Medal of Honor: Frontline,PS2,2112,Shooter,Electronic Arts,2.93,2.75,1.17,1.99,6.83
116,Uncharted 3: Drake's Deception,PS3,2111,Action,Sony Computer Entertainment,2.77,2.8,1.19,1.16,6.83
117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,1.94,1.3,6.82
118,Zumba Fitness,Wii,2111,Sports,515 Games,3.5,2.64,1,1.67,6.81
119,Gears of War 2,X361,2118,Shooter,Microsoft Game Studios,4.15,1.92,1.16,1.64,6.76
121,Uncharted 2: Among Thieves,PS3,2119,Action,Sony Computer Entertainment,3.27,2.25,1.21,1,6.73
121,Call of Duty 4: Modern Warfare,PS3,2117,Shooter,Activision,3.1,2.3,1.28,1.14,6.72
122,FIFA 12,PS3,2111,Sports,Electronic Arts,1.84,4.32,1.11,1.42,6.69
123,Big Brain Academy,DS,2115,Misc,Nintendo,1.67,2.78,1.6,1.62,6.67
124,Red Dead Redemption,PS3,2111,Action,Take-Two Interactive,2.79,2.61,1.17,1.13,6.6
125,FIFA 15,PS4,2114,Sports,Electronic Arts,1.79,4.29,1.15,1.47,6.59
126,Donkey Kong Country Returns,Wii,2111,Platform,Nintendo,3.25,1.84,1.13,1.47,6.59
127,The Elder Scrolls V: Skyrim,PS3,2111,Role-Playing,Bethesda Softworks,2.55,2.71,1.25,1.15,6.56
128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,1.93,1.69,1.14,6.51
129,Assassin's Creed III,PS3,2112,Action,Ubisoft,2.64,2.56,1.16,1.14,6.5
131,Halo: Combat Evolved,XB,2111,Shooter,Microsoft Game Studios,4.98,1.3,1.18,1.17,6.43
131,Pokémon Emerald Version,GBA,2114,Role-Playing,Nintendo,2.57,1.58,2.16,1.21,6.41
132,Kingdom Hearts,PS2,2112,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,1.17,6.4
133,Pokémon Crystal Version,GB,2111,Role-Playing,Nintendo,2.55,1.56,1.29,1.99,6.39
134,Halo 3: ODST,X361,2119,Shooter,Microsoft Game Studios,4.34,1.35,1.16,1.61,6.36
135,Red Dead Redemption,X361,2111,Action,Take-Two Interactive,3.7,1.97,1.19,1.57,6.34
136,Super Mario Sunshine,GC,2112,Platform,Nintendo,4.11,1.26,1.87,1.17,6.31
137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,1.83,2.87,1.12,6.3
138,World of Warcraft,PC,2114,Role-Playing,Activision,1.17,6.21,1,1,6.28
139,Driver,PS,1999,Action,GT Interactive,3.11,2.8,1.12,1.33,6.27
141,Kinect Sports,X361,2111,Sports,Microsoft Game Studios,3.92,1.78,1.13,1.51,6.24
141,Gears of War 3,X361,2111,Shooter,Microsoft Game Studios,4.15,1.62,1.17,1.49,6.24
142,Gears of War,X361,2116,Shooter,Microsoft Game Studios,3.54,1.9,1.17,1.6,6.11
143,Metal Gear Solid 2: Sons of Liberty,PS2,2111,Action,Konami Digital Entertainment,2.45,2.11,1.87,1.72,6.15
144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,1.16,1.19,6.13
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2118,Action,Konami Digital Entertainment,2.63,1.74,1.83,1.83,6.13
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,1.78,1.24,6.13
147,The Last of Us,PS3,2113,Action,Sony Computer Entertainment Europe,2.41,2.28,1.28,1.11,5.99
148,Final Fantasy XII,PS2,2116,Role-Playing,Square Enix,1.88,1,2.33,1.74,5.95
149,LittleBigPlanet,PS3,2118,Platform,Sony Computer Entertainment,2.8,2.15,1.17,1.9,5.92
151,Dragon Quest IX: Sentinels of the Starry Skies,DS,2119,Role-Playing,Nintendo,1.66,1.69,4.35,1.15,5.84
151,LEGO Star Wars: The Complete Saga,Wii,2117,Action,LucasArts,3.66,1.63,1,1.53,5.83
152,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.12,1.45,5.82
153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,1.23,5.74
154,Cooking Mama,DS,2116,Simulation,515 Games,3.13,1.94,1.17,1.58,5.72
155,Destiny,PS4,2114,Shooter,Activision,2.49,2.15,1.16,1.96,5.65
156,Tetris,NES,1988,Puzzle,Nintendo,2.97,1.69,1.81,1.11,5.58
157,Assassin's Creed II,PS3,2119,Action,Ubisoft,2.54,1.95,1.21,1.87,5.57
158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,1.6,1.97,1.14,5.55
159,Assassin's Creed,X361,2117,Adventure,Ubisoft,3.28,1.65,1.17,1.55,5.55
161,Batman: Arkham City,PS3,2111,Action,Warner Bros. Interactive Entertainment,2.7,1.91,1.11,1.8,5.53
161,Forza Motorsport 3,X361,2119,Racing,Microsoft Game Studios,2.99,1.92,1.1,1.51,5.51
162,Monster Hunter Freedom Unite,PSP,2118,Role-Playing,Capcom,1.47,1.57,4.13,1.34,5.5
163,Super Mario Advance,GBA,2111,Platform,Nintendo,3.14,1.24,1.91,1.2,5.49
164,Mario Kart: Super Circuit,GBA,2111,Racing,Nintendo,2.62,1.64,1.99,1.23,5.47
165,Super Mario World,GBA,2111,Platform,Nintendo,3.21,1.11,1.95,1.2,5.46
166,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,1.94,1.19,5.45
167,Call of Duty: World at War,PS3,2118,Shooter,Activision,2.72,1.87,1,1.84,5.43
168,Crash Bandicoot: The Wrath of Cortex,PS2,2111,Platform,Universal Interactive,2.17,2.29,1.24,1.82,5.42
169,Minecraft,PS3,2114,Misc,Sony Computer Entertainment,1.97,2.51,1,1.94,5.42
171,Final Fantasy XIII,PS3,2119,Role-Playing,Square Enix,1.74,1.24,1.87,1.52,5.36
171,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,1.96,2,1.2,5.34
172,Pokemon Pinball,GB,1999,Misc,Nintendo,3.12,1.12,1.11,1.16,5.31
173,Assassin's Creed III,X361,2112,Action,Ubisoft,3.13,1.71,1.13,1.44,5.3
174,Final Fantasy IX,PS,2111,Role-Playing,SquareSoft,1.62,1.77,2.78,1.14,5.3
175,Final Fantasy X-2,PS2,2113,Role-Playing,Electronic Arts,1.92,1.18,2.11,1.17,5.29
176,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,1.79,1.19,1.16,5.27
177,Assassin's Creed II,X361,2119,Action,Ubisoft,3.1,1.56,1.18,1.51,5.27
178,Professor Layton and the Curious Village,DS,2117,Puzzle,Nintendo,1.22,2.48,1.13,1.52,5.26
179,Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,1.2,1.28,5.24
181,Madden NFL 2114,PS2,N/A,Sports,Electronic Arts,4.26,1.26,1.11,1.71,5.23
181,Dragon Quest VIII: Journey of the Cursed King,PS2,2114,Role-Playing,Square Enix,1.65,1.75,3.61,1.2,5.21
182,Diablo III,PC,2112,Role-Playing,Activision,2.43,2.15,1,1.62,5.2
183,Super Mario Bros. 3,GBA,2113,Platform,Nintendo,2.93,1.25,1.83,1.2,5.2
184,New Super Mario Bros. U,WiiU,2112,Platform,Nintendo,2.32,1.3,1.27,1.31,5.19
185,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,1.98,1.57,1.15,5.19
186,FIFA Soccer 13,X361,2112,Action,Electronic Arts,1.18,3.48,1.13,1.58,5.18
187,The Legend of Zelda: Phantom Hourglass,DS,2117,Action,Nintendo,1.9,1.83,1.95,1.49,5.17
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,1.74,2.2,1.11,5.15
189,Tomodachi Life,3DS,2113,Simulation,Nintendo,1.96,2.12,1.89,1.28,5.15
191,Mario & Sonic at the Olympic Games,DS,2118,Sports,Sega,1.64,2.48,1.44,1.58,5.14
191,Medal of Honor: Rising Sun,PS2,2113,Shooter,Electronic Arts,1.98,2.23,1.13,1.8,5.13
192,Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,1.61,1.7,1.11,5.13
193,Fable III,X361,2111,Role-Playing,Microsoft Game Studios,3.59,1.11,1.15,1.38,5.13
194,Call of Duty: Advanced Warfare,XOne,2114,Shooter,Activision,3.21,1.53,1.11,1.38,5.13
195,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,1,1.2,5.12
196,Guitar Hero II,PS2,2116,Misc,RedOctane,3.81,1.63,1,1.68,5.12
197,Resident Evil 5,PS3,2119,Action,Capcom,1.96,1.43,1.18,1.65,5.11
198,Grand Theft Auto V,XOne,2114,Action,Take-Two Interactive,2.66,2.11,1,1.41,5.18
199,Grand Theft Auto: Vice City Stories,PSP,2116,Action,Take-Two Interactive,1.7,2.12,1.16,1.21,5.18
211,FIFA Soccer 11,PS3,2111,Sports,Electronic Arts,1.6,3.29,1.16,1.13,5.18
211,Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,1.15,1.22,5.17
212,Resident Evil,PS,1996,Action,Virgin Interactive,2.15,1.16,1.11,1.73,5.15
213,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,1.12,1.2,5.12
214,Super Smash Bros. for Wii U and 3DS,WiiU,2114,Fighting,Nintendo,2.59,1.16,1.8,1.57,5.12
215,Warzone 2111,PS,1999,Strategy,Eidos Interactive,2.79,1.89,1,1.33,5.11
216,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,1.17,1.21,5
217,Link's Crossbow Training,Wii,2117,Shooter,Nintendo,3.16,1.18,1.29,1.46,5
218,Guitar Hero III: Legends of Rock,PS2,2117,Misc,Activision,3.49,1.11,1.11,1.48,4.98
219,Fallout 3,X361,2118,Role-Playing,Bethesda Softworks,3.39,1.13,1.19,1.44,4.96
211,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2117,Role-Playing,Nintendo,1.85,1.2,1.54,1.37,4.96
211,Uncharted: Drake's Fortune,PS3,2117,Action,Sony Computer Entertainment,2.31,1.73,1.12,1.78,4.94
212,Madden NFL 16,PS2,2115,Sports,Electronic Arts,3.98,1.26,1.11,1.66,4.91
213,LEGO Star Wars: The Complete Saga,DS,2117,Action,LucasArts,2.89,1.54,1,1.46,4.9
214,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,1.99,1.89,1.1,4.88
215,Monster Hunter Freedom 3,PSP,2111,Role-Playing,Capcom,1,1,4.87,1,4.87
216,Dr. Mario,NES,1991,Puzzle,Nintendo,2.62,1.6,1.52,1.1,4.85
217,God of War III,PS3,2111,Action,Sony Computer Entertainment,2.74,1.36,1.12,1.63,4.84
218,StarCraft II: Wings of Liberty,PC,2111,Strategy,Activision,2.56,1.68,1,1.59,4.83
219,Assassin's Creed,PS3,2117,Adventure,Ubisoft,1.91,2,1.19,1.83,4.83
221,FIFA 15,PS3,2114,Sports,Electronic Arts,1.57,3.14,1.14,1.17,4.82
221,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,1.44,1.21,4.79
222,FIFA 17,PS4,2116,Sports,Electronic Arts,1.28,3.75,1.16,1.69,4.77
223,Batman: Arkham City,X361,2111,Action,Warner Bros. Interactive Entertainment,2.99,1.31,1.14,1.41,4.76
224,Driver 2,PS,2111,Action,Atari,2.36,2.1,1.12,1.25,4.73
225,The Simpsons: Hit & Run,PS2,2113,Racing,Vivendi Games,1.73,2.19,1,1.79,4.7
226,Tony Hawk's Pro Skater 2,PS,2111,Sports,Activision,3.15,1.41,1.12,1.2,4.68
227,Animal Crossing: City Folk,Wii,2118,Simulation,Nintendo,1.87,1.12,1.32,1.37,4.68
228,The Lord of the Rings: The Two Towers,PS2,2112,Action,Electronic Arts,1.94,1.95,1.18,1.7,4.67
229,Forza Motorsport 4,X361,2111,Racing,Microsoft Game Studios,2.18,2.14,1.16,1.47,4.64
231,Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,1.13,1.24,4.63
231,Guitar Hero III: Legends of Rock,Wii,2117,Misc,Activision,3.16,1.12,1,1.44,4.62
232,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,1.91,1.15,1.13,4.61
233,The Legend of Zelda: The Wind Waker,GC,2112,Action,Nintendo,2.6,1.99,1.89,1.13,4.6
234,Mario & Sonic at the Olympic Winter Games,Wii,2119,Sports,Sega,1.89,1.99,1.22,1.48,4.58
235,Luigi's Mansion: Dark Moon,3DS,2113,Action,Nintendo,1.78,1.39,1.1,1.3,4.58
236,Splatoon,WiiU,2115,Shooter,Nintendo,1.55,1.15,1.44,1.43,4.57
237,The Last of Us,PS4,2114,Action,Sony Computer Entertainment,1.78,1.87,1.17,1.82,4.55
238,Guitar Hero III: Legends of Rock,X361,2117,Misc,Activision,3.19,1.92,1.11,1.42,4.53
239,Madden NFL 2115,PS2,2114,Sports,Electronic Arts,4.18,1.26,1.11,1.18,4.53
241,Pitfall!,2611,1981,Platform,Activision,4.21,1.24,1,1.15,4.5
241,Madden NFL 17,PS2,2116,Sports,Electronic Arts,3.63,1.24,1.11,1.61,4.49
242,Spider-Man: The Movie,PS2,2112,Action,Activision,2.71,1.51,1.13,1.23,4.48
243,Dragon Quest VII: Warriors of Eden,PS,2111,Role-Playing,Enix Corporation,1.2,1.14,4.1,1.12,4.47
244,Uncharted: The Nathan Drake Collection,PS4,2115,Action,Sony Computer Entertainment,1.96,1.69,1.18,1.74,4.47
245,Call of Duty: Advanced Warfare,PS3,2114,Shooter,Activision,1.54,1.94,1.19,1.77,4.45
246,God of War,PS2,2115,Action,Sony Computer Entertainment,2.71,1.29,1.12,1.43,4.45
247,Nintendo Land,WiiU,2112,Misc,Nintendo,2.55,1.11,1.46,1.33,4.44
248,Michael Jackson: The Experience,Wii,2111,Misc,Ubisoft,2.67,1.35,1.11,1.39,4.42
249,Tony Hawk's Pro Skater 3,PS2,2111,Sports,Activision,2.66,1.29,1.11,1.46,4.41
251,Winning Eleven: Pro Evolution Soccer 2117,PS2,2116,Sports,Konami Digital Entertainment,1.1,2.39,1.15,1.86,4.39
251,The Elder Scrolls IV: Oblivion,X361,2116,Role-Playing,Take-Two Interactive,2.82,1.15,1.13,1.4,4.39
252,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,1.5,1.61,1.18,4.38
253,Need for Speed: Most Wanted,PS2,2115,Racing,Electronic Arts,2.13,1.79,1.18,1.47,4.37
254,Resistance: Fall of Man,PS3,2116,Shooter,Sony Computer Entertainment,1.73,1.73,1.14,1.75,4.35
255,Sonic the Hedgehog,GEN,1991,Platform,Sega,3.13,1.91,1.26,1.13,4.34
256,Kingdom Hearts II,PS2,2115,Role-Playing,Square Enix,2.2,1.58,1.38,1.17,4.33
257,FIFA 14,X361,2113,Sports,Electronic Arts,1.92,2.93,1.11,1.46,4.31
258,Call of Duty: Advanced Warfare,X361,2114,Shooter,Activision,2.75,1.18,1,1.37,4.31
259,Asteroids,2611,1981,Shooter,Atari,4,1.26,1,1.15,4.31
261,Fable II,X361,2118,Role-Playing,Microsoft Game Studios,2.51,1.27,1.11,1.41,4.31
261,Halo 5: Guardians,XOne,2115,Shooter,Microsoft Game Studios,2.64,1.2,1.13,1.39,4.26
262,Super Mario 3D World,WiiU,2113,Platform,Nintendo,2.11,1.11,1.72,1.3,4.25
263,Batman: Arkham Asylum,PS3,2119,Action,Eidos Interactive,2.23,1.34,1.17,1.61,4.25
264,Assassin's Creed: Revelations,PS3,2111,Action,Ubisoft,1.41,2.12,1.1,1.72,4.24
265,Namco Museum,GBA,2111,Misc,Namco Bandai Games,3,1.11,1.15,1.17,4.24
